"Dish Name,States (Commonly Found In),Area Type (Rural/Urban/Both),Diet Type,Income Range (Commonly Consumed By)"
"Instant dhokla,Gujarat;Maharashtra;Rajasthan;Madhya Pradesh;Delhi,urban,Vegetarian,3-6L"
"Tomato ginger chutney (Tamatar adarak ki chutney),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Mint tomato chutney (Pudinay aur tamatar ki chutney),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Coriander chutney (Hare dhaniye ki chutney),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Gooseberry chutney (Amla chutney),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Walnut chutney (Akhrot ki chutney),Jammu and Kashmir;Himachal Pradesh;Punjab;Uttarakhand;Delhi,both,Vegetarian,3-6L"
"Saunth/Sonth chutney with ginger,Uttar Pradesh;Delhi;Rajasthan;Haryana;Punjab,both,Vegetarian,1-3L;3-6L"
"Gun powder chutney,Tamil Nadu;Karnataka;Andhra Pradesh;Telangana;Kerala,both,Vegetarian,1-3L;3-6L"
"Dessicated coconut chutney (Sookhe kase nariyal ki chutney),Tamil Nadu;Kerala;Karnataka;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Curd mint dip,Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Vegetarian,3-6L;>6L"
"Curd vegetable dip,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Mayonnaise vegetable dip,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),All Indian States and UTs,urban,Vegetarian,1-3L;3-6L"
"Tomato sandwich (grilled),All Indian States and UTs,urban,Vegetarian,3-6L"
"French sandwich (toasted),Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Peanut butter cucumber sandwich,Delhi;Mumbai;Bengaluru;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Mint and peanut sandwich,Delhi;Mumbai;Hyderabad;Pune;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Spicy chutney sandwich,All Indian States and UTs,urban,Vegetarian,3-6L"
"Chicken walnut sandwich (Chicken aur akhrot ke sandwich),Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Rolled sandwich,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Ribbon sandwich,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Checker board sandwich,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Submarine sandwich,All Indian States and UTs,urban,Non-Vegetarian,3-6L;>6L"
"Cheese open sandwich,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Sunset and sunrise open sandwich,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Danish luncheon sandwich,Delhi;Mumbai;Hyderabad;Pune;Bengaluru,urban,Non-Vegetarian,3-6L;>6L"
"Chicken and corn open sandwich,Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Chocolate sponge cake,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Chocolate swiss roll,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Lemon curd filling,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Jam filling,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Chocolate pastry,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Assorted pastry,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Orange gateau,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Black forest gateau,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Lemon cake,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Dundee cake,Delhi;Mumbai;Kolkata;Goa;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Victorian sandwich cake,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Chocolate eggless cake,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Orange eggless cake,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Chocolate glace icing,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Butter icing,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Chocolate butter icing,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Almond biscuit (Badam ke biscuit),Rajasthan;Gujarat;Delhi;Punjab;Haryana,both,Vegetarian,1-3L;3-6L"
"Orange biscuit,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L"
"Gingerman biscuit,Delhi;Mumbai;Hyderabad;Goa;Pune,urban,Vegetarian,3-6L;>6L"
"Coffee drops,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Christmas biscuit,Goa;Kerala;Tamil Nadu;Karnataka;Delhi,both,Vegetarian,3-6L;>6L"
"Christmas wreath biscuit,Goa;Kerala;Tamil Nadu;Karnataka;Maharashtra,both,Vegetarian,3-6L;>6L"
"Christmas bell biscuit,Goa;Kerala;Tamil Nadu;Maharashtra;Karnataka,both,Vegetarian,3-6L;>6L"
"Christmas star biscuit,Goa;Kerala;Tamil Nadu;Maharashtra;Karnataka,both,Vegetarian,3-6L;>6L"
"Christmas tree biscuit,Goa;Kerala;Tamil Nadu;Karnataka;Maharashtra,both,Vegetarian,3-6L;>6L"
"Chocolate cream shells,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Jelly biscuit,All Indian States and UTs,urban,Vegetarian,3-6L"
"Cherry and walnut cookies,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Cheese straws,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Butterfly biscuit,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L"
"Flan pastry,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Fruit flan,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Orange cream flan,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Fruit puree tart,Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Vegetarian,3-6L;>6L"
"Apple banana pie,Delhi;Mumbai;Pune;Hyderabad;Goa,urban,Vegetarian,3-6L;>6L"
"Lemon chiffon pie,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Orange chiffon pie,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Cream buns,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Savoury puffs,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Choux swans,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Potato aigrettes,Delhi;Mumbai;Hyderabad;Pune;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Cream horns,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Savoury cheese horns,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Paneer patties,Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Vegetable patties ,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Pearl millet infant food (Bajra shishu aahaar),Rajasthan;Haryana;Gujarat;Madhya Pradesh;Uttar Pradesh,rural,Vegetarian,<1L;1-3L"
"Sajina,Odisha;Jharkhand;Bihar;West Bengal;Chhattisgarh,rural,Vegetarian,<1L;1-3L"
"Cereal mix ,All Indian States and UTs,both,Vegetarian,<1L;1-3L"
"Pulse mix,All Indian States and UTs,both,Vegetarian,<1L;1-3L"
"Shishu ahar,All Indian States and UTs,rural,Vegetarian,<1L;1-3L"
"Cereal pulse mix with amylase rice flour,All Indian States and UTs,rural,Vegetarian,<1L;1-3L"
"Banana groundnut paste/puree,Kerala;Tamil Nadu;Karnataka;Maharashtra;Andhra Pradesh,rural,Vegetarian,<1L;1-3L"
"Rice dal porridge (Chawal dal ki khichdi/khichri),All Indian States and UTs,rural,Vegetarian,<1L;1-3L"
"Lentils and semolina porridge (Dal suji porridge/daliya),All Indian States and UTs,rural,Vegetarian,<1L;1-3L"
"Spinach khichri (Palak khichri/khichdi),All Indian States and UTs,rural,Vegetarian,<1L;1-3L"
"Vegetable mix,All Indian States and UTs,rural,Vegetarian,<1L;1-3L"
"Lentils and wheat porridge (Dal wheat porridge/daliya ),All Indian States and UTs,rural,Vegetarian,<1L;1-3L"
"Maize porridge,Madhya Pradesh;Rajasthan;Uttar Pradesh;Gujarat;Maharashtra,rural,Vegetarian,<1L;1-3L"
"Spinach peanut burfi (Palak aur mungfali ki burfi),Rajasthan;Delhi;Madhya Pradesh;Uttar Pradesh;Haryana,both,Vegetarian,1-3L;3-6L"
"Split bengal gram burfi/fudge (Channa dal burfi),Rajasthan;Madhya Pradesh;Uttar Pradesh;Haryana;Delhi,both,Vegetarian,1-3L;3-6L"
"Chickpea flour cookies (Sweet besan rounds/cookies),Rajasthan;Gujarat;Madhya Pradesh;Delhi;Uttar Pradesh,both,Vegetarian,1-3L;3-6L"
"Pearl millet mathri (Bajra mathri),Rajasthan;Haryana;Gujarat;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Sesame biscuit (Til ke biscuit),Rajasthan;Gujarat;Uttar Pradesh;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),Tamil Nadu;Karnataka;Andhra Pradesh;Telangana;Kerala,both,Vegetarian,1-3L;3-6L"
"Poshtik namak paras,Rajasthan;Madhya Pradesh;Delhi;Haryana;Uttar Pradesh,both,Vegetarian,1-3L;3-6L"
"Soya chikki,Maharashtra;Gujarat;Rajasthan;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Besan bathua chilla/cheela,Haryana;Punjab;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Wheat flour and nuts ladoos (Atta nuts ladoos),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Gram flour and semolina dhokla (Besan suji dhokla),Gujarat;Maharashtra;Rajasthan;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Atta dal burfi ,Rajasthan;Madhya Pradesh;Delhi;Uttar Pradesh;Haryana,both,Vegetarian,1-3L;3-6L"
"Soya roti,Rajasthan;Delhi;Madhya Pradesh;Uttar Pradesh;Haryana,both,Vegetarian,1-3L;3-6L"
"Poshtik khichdi/khichri,All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Namkeen daliya,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Sprouts upma ,Maharashtra;Karnataka;Tamil Nadu;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Semolina idli (Suji/Rava idli),Tamil Nadu;Karnataka;Kerala;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Poshtik chilla/cheela,Rajasthan;Delhi;Madhya Pradesh;Uttar Pradesh;Haryana,both,Vegetarian,1-3L;3-6L"
"Stuffed bittergourd (dry) (Bharwa karela),Punjab;Haryana;Delhi;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Cauliflower potato canjee,Karnataka;Kerala;Tamil Nadu;Andhra Pradesh;Goa,both,Vegetarian,1-3L;3-6L"
"Creamed spinach,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Mango milkshake with ice cream (Aam milkshake ice cream ke saath),All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Woodapple juice (Bel ka sharbat),Rajasthan;Uttar Pradesh;Bihar;Madhya Pradesh;Odisha,both,Vegetarian,1-3L"
"Sattu drink,Bihar;Jharkhand;Uttar Pradesh;West Bengal;Odisha,both,Vegetarian,<1L;1-3L"
"Apple and honey sorbet (Seb aur shehad ka sharbat),Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Vegetarian,3-6L;>6L"
"Thandai,Uttar Pradesh;Rajasthan;Delhi;Haryana;Madhya Pradesh,both,Vegetarian,3-6L;>6L"
"Cucumber sharbat (Kheere ka sharbat),Delhi;Rajasthan;Uttar Pradesh;Madhya Pradesh;Haryana,both,Vegetarian,1-3L;3-6L"
"Apple oats chia seed smoothie,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Nannari sharbat,Tamil Nadu;Kerala;Karnataka;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Semolina milk drink (Thari kanji),Tamil Nadu;Kerala;Karnataka;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Saffron milk (Kesariya doodh),Rajasthan;Uttar Pradesh;Haryana;Delhi;Punjab,both,Vegetarian,3-6L;>6L"
"Black rice kheer (Chak-hao kheer),Manipur;Assam;Tripura;Nagaland;Meghalaya,both,Vegetarian,1-3L;3-6L"
"Coconut kheer (Nariyal ki kheer),Kerala;Goa;Tamil Nadu;Karnataka;Maharashtra,both,Vegetarian,1-3L;3-6L"
"Apple sago payasam (Seb aur sabudana ki kheer),Kerala;Tamil Nadu;Karnataka;Andhra Pradesh;Goa,both,Vegetarian,1-3L;3-6L"
"Kesari bath,Karnataka;Tamil Nadu;Andhra Pradesh;Telangana;Kerala,both,Vegetarian,1-3L;3-6L"
"Putharekulu,Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Mango malpua,Uttar Pradesh;Bihar;Odisha;Rajasthan;West Bengal,both,Vegetarian,1-3L;3-6L"
"Mango vanilla custard,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Kiwi granola pudding,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Oats burfi,Delhi;Maharashtra;Karnataka;Gujarat;Tamil Nadu,urban,Vegetarian,3-6L"
"Lotus seed halwa (Kamal gattay ka halwa),Uttar Pradesh;Bihar;Rajasthan;Delhi;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Amaranth ladoo (Rajgira ladoo),Maharashtra;Gujarat;Rajasthan;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Chhena poda,Odisha;West Bengal;Jharkhand;Bihar;Assam,both,Vegetarian,1-3L;3-6L"
"Sweet couscous dessert,Delhi;Mumbai;Goa;Hyderabad;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Sweetened yogurt (Shrikhand),Maharashtra;Gujarat;Rajasthan;Delhi;Madhya Pradesh,both,Vegetarian,3-6L;>6L"
"Thickened sweetened milk (Rabri),Uttar Pradesh;Rajasthan;Bihar;Delhi;Haryana,both,Vegetarian,1-3L;3-6L"
"Gram flour halwa (Besan halwa),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Prawn sandwich,Goa;Kerala;Mumbai;Kolkata;Hyderabad,urban,Non-Vegetarian,3-6L;>6L"
"Watercress sandwich,Delhi;Mumbai;Hyderabad;Pune;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Fish sandwich ,Goa;Kerala;West Bengal;Mumbai;Hyderabad,urban,Non-Vegetarian,3-6L;>6L"
"Kidney bean sandwich with cottage cheese,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Finger millet biscuit (Ragi biscuit),Karnataka;Tamil Nadu;Kerala;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Buttermilk biscuit,Delhi;Maharashtra;Karnataka;Gujarat;Tamil Nadu,both,Vegetarian,1-3L;3-6L"
"Lemon cookies,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L"
"Sweet potato biscuit (Shakarkand ke biscuit),Rajasthan;Madhya Pradesh;Uttar Pradesh;Delhi;Haryana,both,Vegetarian,1-3L;3-6L"
"Raspberry shortbread cookies,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Pumpkin cookies ,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L"
"Greenpea cookies,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Sunflower cookies,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Cardamom cookies (Elaichi cookies),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Hazelnut cookies,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Milk cookies,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Cranberry cookies,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Olive biscuit,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Tutti fruitti biscuit,All Indian States and UTs,urban,Vegetarian,3-6L"
"Peach blueberry preserves,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Pear preserves (Naashpati ka murabba),Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Starfruit preserves ,Goa;Kerala;Maharashtra;Karnataka;Tamil Nadu,both,Vegetarian,1-3L;3-6L"
"Gooseberry pickle (Amla ka achaar),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Lotus stem pickle (Kamal kakdi ka achar),Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Date pickle (Khajoor ka achaar),Rajasthan;Gujarat;Maharashtra;Delhi;Karnataka,both,Vegetarian,1-3L;3-6L"
"Garlic pickle (Lahasun ka achar),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Fermented bamboo shoot pickle (Mesu pickle),Sikkim;Nagaland;Assam;Manipur;Meghalaya,both,Vegetarian,1-3L;3-6L"
"Sweet peach pickle (Aadoo ka achaar),Jammu and Kashmir;Himachal Pradesh;Uttarakhand;Punjab;Delhi,both,Vegetarian,3-6L"
"Pickled mustard greens ,Punjab;Haryana;Himachal Pradesh;Delhi;Uttarakhand,both,Vegetarian,1-3L;3-6L"
"Small onion pickle ,Tamil Nadu;Karnataka;Andhra Pradesh;Kerala;Telangana,both,Vegetarian,1-3L;3-6L"
"Green tomato pickle (Haray tamatar ka achaar),Uttar Pradesh;Rajasthan;Haryana;Delhi;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Pickled cabbage ,Punjab;Delhi;Uttar Pradesh;Haryana;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Coconut pickle (Nariyal ka aachar),Kerala;Goa;Karnataka;Tamil Nadu;Andhra Pradesh,both,Vegetarian,1-3L;3-6L"
"Potato pickle (Aloo ka achaar),Uttar Pradesh;Bihar;Delhi;Rajasthan;Haryana,both,Vegetarian,1-3L;3-6L"
"Mango murabba candy,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Afghani chicken,Delhi;Lucknow;Hyderabad;Kolkata;Mumbai,urban,Non-Vegetarian,3-6L;>6L"
"Fish orly,Goa;Kerala;Mumbai;Kolkata;Hyderabad,urban,Non-Vegetarian,3-6L;>6L"
"Hariyali Fish Tikka,Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Chicken manchurian,All Indian States and UTs,urban,Non-Vegetarian,3-6L;>6L"
"Handi chicken,Delhi;Lucknow;Hyderabad;Bhopal;Kolkata,both,Non-Vegetarian,3-6L;>6L"
"Lemon chicken,Delhi;Hyderabad;Kolkata;Mumbai;Goa,both,Non-Vegetarian,3-6L;>6L"
"Lemon butter fish,Goa;Kerala;Mumbai;Kolkata;Hyderabad,urban,Non-Vegetarian,3-6L;>6L"
"Baked eggs in tomato sauce,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Eggitarian,3-6L;>6L"
"Egg in a pepper,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Eggitarian,3-6L;>6L"
"Spinach mushroom scrambled egg (Palak mushroom bhurji),Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Eggitarian,3-6L;>6L"
"Corn omelette/omlet,All Indian States and UTs,both,Eggitarian,1-3L;3-6L"
"Cajun chicken,Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Paneer do pyaza,All Indian States and UTs,both,Vegetarian,3-6L;>6L"
"Cabbage manchurian (Pattagobhi manchurian),All Indian States and UTs,urban,Vegetarian,3-6L"
"Gobi 65,Tamil Nadu;Karnataka;Andhra Pradesh;Telangana;Kerala,both,Vegetarian,1-3L;3-6L"
"Paneer lababdar,Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L;>6L"
"Roasted cauliflower steak,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Sauteed radishes with green beans,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L"
"Garlic chutney/Poondu chutney (Lahasun ki chutney),Tamil Nadu;Karnataka;Kerala;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Schezwan chutney,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Onion chutney (Pyaaz ki chutney/Vengaya chutney),Tamil Nadu;Karnataka;Andhra Pradesh;Kerala;Telangana,both,Vegetarian,1-3L;3-6L"
"Dates chutney (Khajoor ki chutney),Rajasthan;Gujarat;Maharashtra;Delhi;Karnataka,both,Vegetarian,1-3L;3-6L"
"Chicken salad,Delhi;Mumbai;Hyderabad;Kolkata;Goa,urban,Non-Vegetarian,3-6L;>6L"
"Macaroni salad,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Cabbage raita (Pattagobhi raita),Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Pomegranate raita (Anaar ka raita),Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Onion raita (Pyaaz ka raita),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Green chilli raita (Hari mirch ka raita),Rajasthan;Haryana;Uttar Pradesh;Delhi;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Kale salad,Delhi;Mumbai;Pune;Hyderabad;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Spinach and paneer souffle ,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Masala souffle ,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Chicken and cheese souffle,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Tamarind chutney (Chintapandu pachadi/Puli chutney),Tamil Nadu;Andhra Pradesh;Telangana;Karnataka;Kerala,both,Vegetarian,1-3L;3-6L"
"Pav bhaji masala,Maharashtra;Gujarat;Delhi;Rajasthan;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Green chutney,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Sago khitchdi/khichri (Sabudana khitchdi/khichri),Maharashtra;Gujarat;Madhya Pradesh;Rajasthan;Delhi,both,Vegetarian,1-3L;3-6L"
"Gram flour chilla/cheela (Besan chilla/cheela),Rajasthan;Madhya Pradesh;Uttar Pradesh;Delhi;Haryana,both,Vegetarian,1-3L;3-6L"
"Vegetable namkeen jave,Rajasthan;Madhya Pradesh;Uttar Pradesh;Delhi;Haryana,both,Vegetarian,1-3L;3-6L"
"Khakhra,Gujarat;Rajasthan;Maharashtra;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Moong bean dosa (Pesarattu),Andhra Pradesh;Telangana;Tamil Nadu;Karnataka;Kerala,both,Vegetarian,1-3L;3-6L"
"Methi thepla,Gujarat;Rajasthan;Maharashtra;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Rice puttu (Ari puttu),Kerala;Tamil Nadu;Karnataka;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Buckwheat pancake (Khura),Arunachal Pradesh;Assam;Nagaland;Sikkim;Manipur,both,Vegetarian,1-3L;3-6L"
"Quinoa khichdi/khichri,Delhi;Mumbai;Hyderabad;Pune;Bengaluru,urban,Vegetarian,3-6L;>6L"
"Khakhra chaat,Gujarat;Rajasthan;Maharashtra;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Banana appam,Kerala;Tamil Nadu;Karnataka;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Veg manchurian,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Pav bhaji,Maharashtra;Gujarat;Delhi;Rajasthan;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Rice murukku,Tamil Nadu;Karnataka;Kerala;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Bhel puri ,Maharashtra;Gujarat;Delhi;Rajasthan;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Semolina dhokla (Suji/Rava dhokla),Gujarat;Maharashtra;Rajasthan;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Spicy corn chaat ,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Jackfruit fritters (Ponsa mulik/Kathal ka pakora),Goa;Karnataka;Kerala;West Bengal;Odisha,both,Vegetarian,1-3L;3-6L"
"Banana chips (Kele ke chips),Kerala;Tamil Nadu;Karnataka;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Wheat cake,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Mango cheesecake,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Carrot cake (Gajar ka cake),All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Semolina cake (Suji/Rava cake),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Finger millet cake (Ragi cake),Karnataka;Tamil Nadu;Kerala;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Honey cake,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Almond cardamom cake (Badam elaichi cake),Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Tutti frutti cake,All Indian States and UTs,urban,Vegetarian,3-6L"
"Ham and Bean soup,Goa;Kolkata;Mumbai;Hyderabad;Delhi,urban,Non-Vegetarian,3-6L;>6L"
"Whey soup,Delhi;Maharashtra;Karnataka;Punjab;Tamil Nadu,both,Vegetarian,1-3L;3-6L"
